"","ngrip_age","ngrip_oxy18"
"578",11.6,-36.41
"579",11.62,-36.57
"580",11.64,-36.69
"581",11.66,-38.5
"582",11.68,-39.03
"583",11.7,-39.6
"584",11.72,-39.71
"585",11.74,-40.86
"586",11.76,-40.55
"587",11.78,-39.86
"588",11.8,-40.46
"589",11.82,-40.96
"590",11.84,-39.17
"591",11.86,-38.93
"592",11.88,-41.52
"593",11.9,-39.73
"594",11.92,-41.93
"595",11.94,-40.33
"596",11.96,-41.54
"597",11.98,-40.53
"598",12,-39.6
