begin_age	end_age	events
5.951	6.001	['Uruk period', 'Balakot Phase ', 'Eastern Central Asia Neolithic and Bronze', 'TOP', 'Hallstatt cultures', 'Corded Ware culture', 'European Megalithic', 'Corded Ware culture (Battle Axe, Globular Amphorae)', ' Scandinavian Neolithic', 'Archaic', 'Aleutian', 'Shield Archaic', 'Northern', 'Late Archaic', 'TOP', 'Eastern North America Late Archaic']
6.001	6.051	[]
6.051	6.101	[]
6.101	6.151	[]
6.151	6.201	['TOP', 'TOP', 'Dawenkou', 'Top', 'Southeastern European Early Chalcolithic']
6.201	6.251	['Ubaid 4']
6.251	6.301	['Indus Stage 2', 'Developed farming communities', 'Magellan-Fuegan']
6.301	6.351	[]
6.351	6.401	[]
6.401	6.451	['Ubaid 3']
6.451	6.501	['Naqadan Culture', 'Badari (semi-nomadic)', 'Rapid drying of Sahara', 'Chalcolithic', 'Southeast Asia Neolithic and Bronze', 'Chalcolithic (Copper Age)', 'Eurasian Steppe Nomad (Yamnaya, Katacombnaya)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', 'Linear Pottery culture (Linearbandkeramik (LBK) culture)', ' Eurasian Steppe Nomad']
6.501	6.551	[]
6.551	6.601	[]
6.601	6.651	[]
6.651	6.701	['Ubaid 2']
6.701	6.751	[]
6.751	6.801	['Middle Iranian Chalcolithic', 'Impressed Ware']
6.801	6.851	['Neolithic (Impressed Ware pottery)', 'Neolithic (Impressed Ware pottery)']
6.851	6.901	['Ubaid 1']
6.901	6.951	[]
6.951	7.001	['Ubaid culture', 'Alishar', 'Ubaid culture', 'TOP', 'Neolithic', 'Calcolithic (Copper Age)', 'Middle Arabian Littoral', 'Top', 'Late Neolithic', 'Honshan', 'Yangshao', 'Painted ceramics, Hemudu', 'Jomon (Early)', 'Late Australian', 'Northwest Microblade', 'Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Highland Mesoamerican Archaic', 'Lowland Mesoamerican Archaic', 'Archaic', 'Highland Andean Early Archaic', 'Coastal  Andean Early Archaic', 'Early Parana-Pampean', 'Early Amazonian', 'Sambaqui']
7.001	7.051	[]
7.051	7.101	['Ubaid ', 'Ubaid 0']
7.101	7.151	[]
7.151	7.201	[]
7.201	7.251	[]
7.251	7.301	[]
7.301	7.351	[]
7.351	7.401	['Organized, permanent settlements focused around agriculture']
7.401	7.451	[]
7.451	7.501	['Saharo-Sudanese Neolithic', 'Southern Mediterranean Neolithic', 'Blombos Cave', 'Iranian Chalcolithic', 'Early Iranian Chalcolithic', 'Early Indus (PreHarappan, Early Harappan)']
7.501	7.551	[]
7.551	7.601	[]
7.601	7.651	[]
7.651	7.701	['Halafian']
7.701	7.751	[]
7.751	7.801	[]
7.801	7.851	[]
7.851	7.901	['Amuq Phases C-G']
7.901	7.951	[]
7.951	8.001	['Neolithic', 'Saharo-Sudanese Neolithic', 'Saharo-Sudanese Neolithic', 'Ceramic Neolithic (Late or Pottery Neolithic)', 'Ceramic Neolithic', 'Chulumn (Pissalmun, Comb-Pattern)', 'Neolithic', 'Southeastern European Neolithic (Karanovo, Sesklo) ', 'Kelteminar', 'Siberian Neolithic and Bronze', 'Baikal Neolithic and Bronze', 'Kamchatka Mesolithic', 'Ocean Bay', 'Late Tundra', 'Middle Archaic', 'Cascade', 'Windmiller (Early Horizon)', 'Early Southern California', 'TOP', 'Middle Desert Archaic (Southwest Archaic, Western Archaic)', 'TOP', 'High Plains Early and Middle Archaic', 'Eastern North America Middle Archaic', 'Coahuilan']
